Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
0.0109;0.5751;de Pramecou 1_1;2015;Vanoise;3020.666667;3010;3036;3021;126.98818;NW;6.877692751;45.43031379;G006870E45430N;10;315
0.0579;1.64;de Pramecou 3;2015;Vanoise;2938.25;2806;3012;2942;500.22737;NW;6.8727506;45.43031448;G006870E45430N;10;315
0.2213;4.6172;de Troquairou;2015;Vanoise;3056.634921;2698;3241;3100;1270.6039;NE;6.757354936;45.42537926;G006758E45427N;10;45
0.0062;0.46;des Volnets 3;2015;Vanoise;2675;2651;2687;2687;127.75141;NE;6.778646328;45.42153042;G006763E45424N;10;45
0.0825;3.1315;Nord de l'Epena;2015;Vanoise;2586.471698;2433;2795;2582;665.04237;N;6.808182314;45.41973938;G006809E45420N;10;0
0.4525;3.88;des Volnets 1;2015;Vanoise;3070.76779;2853;3284;3073;1016.30364;NE;6.763214128;45.42158579;G006763E45424N;10;45
0.4083;5.4712;des Volnets 2;2015;Vanoise;2960.81893;2761;3192;2951;1020.42983;NE;6.771037083;45.42012008;G006763E45424N;10;45
0.1126;2.0873;Nord de la Gliere 2;2015;Vanoise;2776.514706;2661;2876;2781.5;412.51784;N;6.788781067;45.4170446;G006788E45418N;10;0
0.1782;2.8476;Nord de la Gliere 1;2015;Vanoise;2739.490741;2539;3042;2723;821.80829;N;6.797008246;45.41683449;G006797E45418N;10;0
0.125;2.5896;de la Roche du Tougne;2015;Vanoise;2936.285714;2772;3060;2935;734.36217;NE;6.782517612;45.4167682;G006782E45419N;10;45
0.2062;3.0646;de Premou 2;2015;Vanoise;3194.016807;2968;3436;3202;731.62073;NW;6.863075317;45.41357871;G006862E45413N;10;315
0.7166;6.5534;de la Grande Casse;2015;Vanoise;2825.633708;2597;3076;2835;2259.54968;SW;6.804863698;45.40847911;G006803E45409N;10;225
0.1169;2.5363;Sud de la Gliere;2015;Vanoise;3009.906667;2837;3133;3020;660.19492;WSW;6.790798729;45.41040906;G006790E45411N;10;270
0.5004;5.0923;de Premou 1;2015;Vanoise;3058.72093;2841;3285;3061;837.19804;NW;6.853652173;45.41210598;G006862E45413N;10;315
0.6218;7.5231;des Grands Couloirs;2015;Vanoise;3411.102151;2936;3777;3490.5;1463.47855;W;6.816495095;45.40187248;G006811E45402N;10;270
0.0911;2.0386;de la Leisse 1;2015;Vanoise;3189.867925;3123;3282;3185;358.80657;NW;6.90506923;45.38230979;G006910E45386N;10;315
0.1865;2.6526;de la Rechasse;2015;Vanoise;2988.857143;2929;3087;2987;410.44798;N;6.796246765;45.37516361;G006799E45376N;10;0
